HouseID,Area_sqft,Bedrooms,Bathrooms,Floors,YearBuilt,HouseAge,Location,Garage,HasGarden,DistanceToCityCenter_km,SchoolRating,CrimeRate,Price
1,1360,4,3,1,2000,26,Uptown,No,No,8.8,10,1.54,19351000
2,4272,1,1,1,1972,54,Suburb,Yes,No,13.28,1,8.49,37592000
3,3592,2,4,1,1977,49,Uptown,Yes,Yes,32.86,7,6.77,39904000
4,966,3,2,2,1996,30,Rural,Yes,Yes,21.69,1,1.93,7709000
5,4926,6,2,1,1972,54,Waterfront,Yes,No,34.47,9,2.74,75903000
6,3944,2,3,2,1995,31,Uptown,No,No,8.91,1,7.95,45050000
7,3671,2,1,2,1990,36,Suburb,Yes,Yes,24.51,5,4.55,33782000
8,3419,3,1,2,1961,65,Suburb,No,No,3.81,7,6.67,31975000
9,630,2,3,3,1975,51,Rural,Yes,Yes,25.9,3,3.22,6579000
10,2185,3,1,3,1968,58,Suburb,Yes,Yes,30.62,9,3.84,22084000
11,1269,1,4,2,1968,58,Downtown,Yes,No,23.6,8,9.81,16930000
12,2891,3,2,3,1997,29,Waterfront,Yes,Yes,11.02,3,2.53,45453000
13,2933,3,3,1,1970,56,Uptown,No,No,1.74,5,5.06,33257000
14,1684,4,3,1,2013,13,Waterfront,Yes,No,5.22,7,8.38,29790000
15,5055,3,1,2,2015,11,Rural,Yes,No,25.08,4,2.44,34127000
16,3885,3,3,1,1981,45,Uptown,No,Yes,37.41,5,4.17,44666000
17,4617,6,4,2,1992,34,Uptown,Yes,Yes,8.66,3,6.13,54183000
18,5343,1,1,2,1995,31,Downtown,No,Yes,29.53,9,4.82,69175000
19,3404,4,1,1,2004,22,Rural,Yes,No,34.72,10,4.6,23413000
20,974,6,1,3,1982,44,Suburb,Yes,No,21.07,9,3.65,12575000
21,1582,5,1,1,2004,22,Downtown,Yes,No,26.94,7,5.85,23240000
22,3058,1,4,1,2004,22,Downtown,Yes,No,32.69,10,6.22,39756000
23,2547,1,1,2,1993,33,Waterfront,Yes,No,10.8,2,6.5,37672000
24,3247,5,3,2,1968,58,Waterfront,Yes,No,12.23,7,0.79,51925000
25,1475,3,4,2,1983,43,Waterfront,No,Yes,0.52,7,6.28,25964000
26,2306,6,2,2,1967,59,Downtown,No,Yes,38.54,5,9.44,32013000
27,689,2,2,3,1966,60,Suburb,Yes,No,36.74,9,5.4,6277000
28,3234,4,3,3,1995,31,Uptown,Yes,Yes,30.7,3,7.11,37076000
29,3505,2,3,3,1977,49,Waterfront,Yes,Yes,3.62,4,5.56,55051000
30,5158,5,4,2,1962,64,Suburb,Yes,No,18.18,1,8.48,48906000
